mask,n_states,n_train,utility,log_loss,mode,elapsed_sec
8388624,2,1000,-0.5053793413084087,0.5053793413084087,ridge_fixed,0.0034347909968346357
8388640,2,1000,-0.48762555983862343,0.48762555983862343,ridge_fixed,0.0029707499779760838
8388672,2,1000,-0.46414042503476444,0.46414042503476444,ridge_fixed,0.003208707959856838
8388736,2,1000,-0.4638949679553469,0.4638949679553469,ridge_fixed,0.0037562920479103923
8388864,2,1000,-0.4700578601517501,0.4700578601517501,ridge_fixed,0.002851500001270324
8389120,2,1000,-0.49404860349057117,0.49404860349057117,ridge_fixed,0.0034009170485660434
8389632,2,1000,-0.509695513559563,0.509695513559563,ridge_fixed,0.0030798750231042504
8390656,2,1000,-0.5320303056921329,0.5320303056921329,ridge_fixed,0.003113041981123388
8404992,2,1000,-0.5236418200660683,0.5236418200660683,ridge_fixed,0.003703499969560653
8421376,2,1000,-0.5200339814618212,0.5200339814618212,ridge_fixed,0.0033890000195242465
8454144,2,1000,-0.5102606312645641,0.5102606312645641,ridge_fixed,0.003123332979157567
8519680,2,1000,-0.5571311062420584,0.5571311062420584,ridge_fixed,0.0032426249817945063
8650752,2,1000,-0.5004537033287902,0.5004537033287902,ridge_fixed,0.0036340830265544355
10485760,2,1000,-0.5258043830382307,0.5258043830382307,ridge_fixed,0.002922500018030405
12582912,2,1000,-0.4861944167423393,0.4861944167423393,ridge_fixed,0.0031022499897517264
16777217,2,1000,-0.4837017808022755,0.4837017808022755,ridge_fixed,0.0030328340362757444
16777218,2,1000,-0.476616806235789,0.476616806235789,ridge_fixed,0.002986790961585939
16777220,2,1000,-0.4758091282779984,0.4758091282779984,ridge_fixed,0.0030726249678991735
16777224,2,1000,-0.5131519234576953,0.5131519234576953,ridge_fixed,0.003103375027421862
16777232,2,1000,-0.47039591712237644,0.47039591712237644,ridge_fixed,0.003057166002690792
16777248,2,1000,-0.47208941087583833,0.47208941087583833,ridge_fixed,0.0031515000155195594
16777280,2,1000,-0.4751439603018853,0.4751439603018853,ridge_fixed,0.0029555410146713257
16777344,2,1000,-0.46846122435387005,0.46846122435387005,ridge_fixed,0.0031354170059785247
16777472,2,1000,-0.478206926794876,0.478206926794876,ridge_fixed,0.0030736670014448464
16778240,2,1000,-0.4824642483739382,0.4824642483739382,ridge_fixed,0.0029598749824799597
16779264,2,1000,-0.48723336551882174,0.48723336551882174,ridge_fixed,0.003130124998278916
16781312,2,1000,-0.47727119313830524,0.47727119313830524,ridge_fixed,0.003068416961468756
16785408,2,1000,-0.493056919936331,0.493056919936331,ridge_fixed,0.0032056659692898393
16793600,2,1000,-0.47785673299789777,0.47785673299789777,ridge_fixed,0.003019583993591368
16809984,2,1000,-0.4833235201260987,0.4833235201260987,ridge_fixed,0.002910291950684041
17825792,2,1000,-0.4759247156697663,0.4759247156697663,ridge_fixed,0.0029761670157313347
18874368,2,1000,-0.4815212617875027,0.4815212617875027,ridge_fixed,0.002964916988275945
33554433,2,1000,-0.49133730407936216,0.49133730407936216,ridge_fixed,0.003318459028378129
33554434,2,1000,-0.48051803759583606,0.48051803759583606,ridge_fixed,0.0034047920489683747
33554436,2,1000,-0.47812448620924214,0.47812448620924214,ridge_fixed,0.002933915995527059
33554440,2,1000,-0.507284226731849,0.507284226731849,ridge_fixed,0.003939125046599656
33554464,2,1000,-0.4786697547294805,0.4786697547294805,ridge_fixed,0.003205624991096556
33554496,2,1000,-0.470533033255815,0.470533033255815,ridge_fixed,0.0034113340079784393
33554560,2,1000,-0.4682594862743865,0.4682594862743865,ridge_fixed,0.003154541947878897
33554688,2,1000,-0.4731374352560114,0.4731374352560114,ridge_fixed,0.003455708036199212
33555456,2,1000,-0.4909655787654573,0.4909655787654573,ridge_fixed,0.003063417039811611
33556480,2,1000,-0.4998487752806556,0.4998487752806556,ridge_fixed,0.0033725419780239463
33558528,2,1000,-0.46673857749215597,0.46673857749215597,ridge_fixed,0.0030041670543141663
33570816,2,1000,-0.49395862619105274,0.49395862619105274,ridge_fixed,0.0030319999787025154
33587200,2,1000,-0.4953226275553139,0.4953226275553139,ridge_fixed,0.0033990000374615192
33619968,2,1000,-0.49766330614562504,0.49766330614562504,ridge_fixed,0.003215000033378601
34078720,2,1000,-0.4666466967660208,0.4666466967660208,ridge_fixed,0.0031510420376434922
34603008,2,1000,-0.463418760167656,0.463418760167656,ridge_fixed,0.003102292015682906
37748736,2,1000,-0.48427726757787115,0.48427726757787115,ridge_fixed,0.003016041999217123
50331648,2,1000,-0.49874116566200805,0.49874116566200805,ridge_fixed,0.002846540999598801
67108865,2,1000,-0.4745255061253048,0.4745255061253048,ridge_fixed,0.0028722499846480787
67108866,2,1000,-0.47571886290646365,0.47571886290646365,ridge_fixed,0.0030652499990537763
67108868,2,1000,-0.4737941518676115,0.4737941518676115,ridge_fixed,0.002957125019747764
67108872,2,1000,-0.5174462715466344,0.5174462715466344,ridge_fixed,0.0033166249631904066
67108880,2,1000,-0.47396226912078154,0.47396226912078154,ridge_fixed,0.0029066670103929937
67108928,2,1000,-0.4731694741549802,0.4731694741549802,ridge_fixed,0.0030945829930715263
67108992,2,1000,-0.472191197252348,0.472191197252348,ridge_fixed,0.003097417007666081
