method,method_label,seed_index,estimator_seed,checkpoint,utility_evaluations,sum_estimated_values,efficiency_error,rmse_to_own_final_mean,mae_to_own_final_mean,pearson_to_own_final_mean,spearman_to_own_final_mean,top5_overlap_own_final_mean,top10_overlap_own_final_mean,top15_overlap_own_final_mean,rmse_to_reference,mae_to_reference,pearson_to_reference,spearman_to_reference,top5_overlap_reference,top10_overlap_reference,top15_overlap_reference
group_testing,Group testing,11,2037,9,4500,-3.5633994550247547,3.6529317813513282,0.06616511586639702,0.06157698231367115,0.02428260839982783,0.03097238895558223,0,2,3,0.0769149488767043,0.07305775824967695,-0.03428566504579997,-0.062472989195678265,1,2,5
group_testing,Group testing,11,2037,10,5000,-3.6867347450251344,3.7762670713517075,0.06816653597802878,0.06404368811367873,-0.00919211833911309,0.06545018007202881,0,2,4,0.0789558855263935,0.07552446404968455,-0.001292251557528194,-0.015222088835534215,1,3,5
group_testing,Group testing,11,2037,11,5500,-2.8741518501659757,2.9636841764925492,0.05199801828928088,0.04779203021649558,0.02393033801357317,0.06919567827130851,0,3,5,0.0626134673401914,0.05927280615250138,0.0775470070461753,0.0426890756302521,1,3,5
group_testing,Group testing,11,2037,12,6000,-3.4458006086979647,3.535332935024538,0.06201410527149386,0.059225005387135356,0.11168533169594297,0.17474189675870347,0,2,6,0.07306025627378512,0.07070578132314115,0.05347431216109423,0.026362545018007204,1,3,3
group_testing,Group testing,11,2037,13,6500,-3.032964704960083,3.122497031286656,0.0539263746778202,0.05096828731237773,0.17339285272224736,0.2333253301320528,1,3,5,0.06494718211853542,0.06244906324838353,0.06261701869746074,0.04902761104441777,2,3,5
group_testing,Group testing,11,2037,14,7000,-2.8925626820030677,2.982095008329641,0.05087009223609346,0.048160246853237415,0.20007286568452654,0.22410564225690274,1,2,4,0.061931341837404355,0.059641022789243194,0.05760829148479779,0.051908763505402154,2,3,5
group_testing,Group testing,11,2037,15,7500,-2.578820032500029,2.668352358826602,0.04490220714145625,0.04188539386317662,0.2259351163912984,0.24235294117647058,1,3,5,0.05588701919295327,0.05336616979918242,0.04332097076645958,0.03212484993997599,2,4,5
group_testing,Group testing,11,2037,16,8000,-2.2213686451844463,2.3109009715110194,0.03799515989160057,0.034863317476007946,0.30463919824188446,0.32677070828331334,1,3,7,0.048932691526666496,0.04621714205287078,0.07848519864349299,0.03798319327731092,2,4,5
group_testing,Group testing,11,2037,17,8500,-2.179402931915545,2.2689352582421183,0.037212553200506496,0.033917479055785724,0.2996357019804449,0.31774309723889554,1,3,5,0.04814493250971969,0.04537782778749274,-0.0072109166976944495,-0.039711884753901555,2,3,4
group_testing,Group testing,11,2037,18,9000,-1.8136245914668416,1.903156917793415,0.03063597869366989,0.026620087952513728,0.37297913280022144,0.3899639855942376,1,3,8,0.04137309559306048,0.03806226097851868,0.04168036234703945,-0.0022569027611044415,1,3,4
